album_name,genre,page_length
Taylor Swift,Country,67779
Fearless,Country pop,102363
Speak Now,"Country pop, country rock, pop rock, power pop",91255
Red,"Pop, country pop, arena rock, country rock, pop rock",105113
1989,Synth-pop,142286
Reputation,"Electropop, synth-pop, R&B, trap-pop, EDM",119730
Lover,"Synth-pop, dream pop, pop rock",117488
Folklore,"Chamber pop, indie folk, electro-folk, folk rock, indie rock",144163
Evermore,"Alt-pop, chamber rock, folk-pop, indie folk, indie rock",100722
Midnights,"Synth-pop, electropop, bedroom pop, dream pop",128039
The Tortured Poets Department,"Synth-pop, chamber pop, folk-pop",136512
The Life of a Showgirl,"Soft pop, soft rock",126920
Fearless (Taylor's Version),Country pop,74857
Red (Taylor's Version),"Pop, arena rock, country",83443
Speak Now (Taylor's Version),"Country pop, pop rock",57872
1989 (Taylor's Version),Synth-pop,71666
